label-dash	rangeIncludes	domainIncludes	has_label_snail	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
maximum-physical-attendee-capacity	Integer	Event	maximum_physical_attendees	maximum_physical_attendee_capacity	maximumPhysicalAttendeeCapacity	pending:							The maximum physical attendee capacity of an <a class="localLink" href="/Event">Event</a> whose <a class="localLink" href="/eventAttendanceMode">eventAttendanceMode</a> is <a class="localLink" href="/OfflineEventAttendanceMode">OfflineEventAttendanceMode</a> (or the offline aspects, in the case of a <a class="localLink" href="/MixedEventAttendanceMode">MixedEventAttendanceMode</a>).
maximum-virtual-attendee-capacity	Integer	Event	maximum_virtual_attendees	maximum_virtual_attendee_capacity	maximumVirtualAttendeeCapacity	pending:							The maximum physical attendee capacity of an <a class="localLink" href="/Event">Event</a> whose <a class="localLink" href="/eventAttendanceMode">eventAttendanceMode</a> is <a class="localLink" href="/OnlineEventAttendanceMode">OnlineEventAttendanceMode</a> (or the online aspects, in the case of a <a class="localLink" href="/MixedEventAttendanceMode">MixedEventAttendanceMode</a>).
num-constraints	Integer	StatisticalPopulation	constraints	num_constraints	numConstraints	pending:							Indicates the number of constraints (not counting <a class="localLink" href="/populationType">populationType</a>) defined for a particular <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>. This helps applications understand if they have access to a sufficiently complete description of a <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>.
num-tracks	Integer	MusicPlaylist	tracks	num_tracks	numTracks								The number of tracks in this album or playlist.
number-of-bathrooms-total	Integer	Accommodation, FloorPlan	bathrooms_total	number_of_bathrooms_total	numberOfBathroomsTotal	pending:							The total integer number of bathrooms in some <a class="localLink" href="/Accommodation">Accommodation</a>, following real estate conventions as <a href="https://ddwiki.reso.org/display/DDW17/BathroomsTotalInteger+Field">documented in RESO</a>: "The simple sum of the number of bathrooms. For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3.". See also <a class="localLink" href="/numberOfRooms">numberOfRooms</a>.
number-of-episodes	Integer	CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	episodes	number_of_episodes	numberOfEpisodes								The number of episodes in this season or series.
number-of-items	Integer	ItemList	items	number_of_items	numberOfItems								The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list.
number-of-pages	Integer	Book	pages	number_of_pages	numberOfPages								The number of pages in the book.
number-of-seasons	Integer	RadioSeries, TVSeries, VideoGameSeries	seasons	number_of_seasons	numberOfSeasons								The number of seasons in this series.
offer-count	Integer	AggregateOffer	offers	offer_count	offerCount								The number of offers for the product.
