SpocWebEntityId	Version	ChangeTime	ChangeUserId	IsDeleted	IsReadOnly	IsPrivate	Id	Bahnhof	GeoLat	GeoLon
156428	1	2015-01-10	20	0	0	0	73	Neu-Isenburg	50.05278	8.665833
156429	1	2015-01-10	20	0	0	0	74	Friedrichsdorf@Taunus	50.25249	8.644776
156430	1	2015-01-10	20	0	0	0	75	Seulberg	50.24353	8.65175
156431	1	2015-01-10	20	0	0	0	76	Bad Homburg	50.22924	8.610486
156432	1	2015-01-10	20	0	0	0	77	Oberursel@Taunus	50.19889	8.588284
156433	1	2015-01-10	20	0	0	0	78	Oberursel-Stierstadt	50.18569	8.584694
156434	1	2015-01-10	20	0	0	0	79	Oberursel-Weißkirchen/Steinbach	50.17324	8.586918
156435	1	2015-01-10	20	0	0	0	80	Friedberg@Hess	50.33528	8.755
156436	1	2015-01-10	20	0	0	0	81	Bruchenbrücken	50.30264	8.793222
156437	1	2015-01-10	20	0	0	0	82	Nieder-Wöllstadt	50.28722	8.757222
156438	1	2015-01-10	20	0	0	0	83	Okarben	50.25159	8.756146
156439	1	2015-01-10	20	0	0	0	84	Groß Karben	50.23755	8.771467
156440	1	2015-01-10	20	0	0	0	85	Dortelweil	50.2075	8.754723
156441	1	2015-01-10	20	0	0	0	86	Bad Vilbel	50.1775	8.735278
156442	1	2015-01-10	20	0	0	0	87	Bad Vilbel Süd	50.1787	8.733477
156443	1	2015-01-10	20	0	0	0	88	Frankfurt-Berkersheim	50.17222	8.6975
156444	1	2015-01-10	20	0	0	0	89	Frankfurt-Frankfurter Berg	50.17012	8.677203
156445	1	2015-01-10	20	0	0	0	90	Frankfurt-Eschersheim	50.15821	8.655016
156446	1	2015-01-10	20	0	0	0	91	Riedstadt-Goddelau	49.83528	8.497778
156447	1	2015-01-10	20	0	0	0	92	Riedstadt-Wolfskehlen	49.85305	8.500556
156448	1	2015-01-10	20	0	0	0	93	Groß-Gerau-Dornheim	49.87778	8.483889
156449	1	2015-01-10	20	0	0	0	94	Groß Gerau-Dornberg	49.90724	8.486341
156450	1	2015-01-10	20	0	0	0	95	Mörfelden	49.979	8.565384
156451	1	2015-01-10	20	0	0	0	96	Walldorf	50.00134	8.580811
156452	1	2015-01-10	20	0	0	0	97	Zeppelinheim	50.03521	8.614166
156453	1	2015-01-10	20	0	0	0	98	Frankfurt am Main Stadion	50.06805	8.633056
156454	1	2015-01-10	20	0	0	0	99	Frankfurt-Niederrad	50.08833	8.643611
156455	1	2015-01-10	20	0	0	0	100	Frankfurt@Main Hbf	50.10695	8.6625
156456	1	2015-01-10	20	0	0	0	101	Mainz Nord	50.01944	8.227777
156457	1	2015-01-10	20	0	0	0	102	Mainz Hbf	50.0013	8.25865
156458	1	2015-01-10	20	0	0	0	103	Mainz Römisches Theater	49.99333	8.277778
156459	1	2015-01-10	20	0	0	0	104	Mainz-Gustavsburg	49.99441	8.314038
156460	1	2015-01-10	20	0	0	0	105	Mainz-Bischofsheim	49.99031	8.362575
156461	1	2015-01-10	20	0	0	0	106	Rüsselsheim Opelwerk	49.995	8.411944
156462	1	2015-01-10	20	0	0	0	107	Rüsselsheim	49.99164	8.413583
156463	1	2015-01-10	20	0	0	0	108	Raunheim	50.00972	8.45
156464	1	2015-01-10	20	0	0	0	109	Kelsterbach	50.06882	8.530139
156465	1	2015-01-10	20	0	0	0	110	Frankfurt-Flughafen	50.05194	8.577778
156466	1	2015-01-10	20	0	0	0	111	Mühlheim@Main	50.12569	8.83
156467	1	2015-01-10	20	0	0	0	112	Mühlheim@Main Dietesheim	50.12052	8.857998
156468	1	2015-01-10	20	0	0	0	113	Steinheim@Main	50.12139	8.906667
156469	1	2015-01-10	20	0	0	0	114	Hanau Hbf	50.12139	8.929722
156470	1	2015-01-10	20	0	0	0	119	Hospital Heiligen Geist	50.11099	8.692863
156471	1	2015-01-10	20	0	0	0	129	Frankensteiner Platz	50.1069	8.692476
156472	1	2015-01-10	20	0	0	0	139	Lokalbahnhof	50.10299	8.692385
156473	1	2015-01-10	20	0	0	0	149	Heister-/Seehofstraße	50.10347	8.697395
156474	1	2015-01-10	20	0	0	0	159	Mühlberg	50.10188	8.699874
156475	1	2015-01-10	20	0	0	0	169	Lettigkautweg	50.09977	8.703457
156476	1	2015-01-10	20	0	0	0	179	Schießhüttenstraße	50.12149	8.773484
156477	1	2015-01-10	20	0	0	0	189	Fechenheim Post	50.12461	8.770209
156478	1	2015-01-10	20	0	0	0	199	Alt-Fechenheim	50.12785	8.767938
156479	1	2015-01-10	20	0	0	0	1109	Mainkur Bahnhof	50.13249	8.766127
156480	1	2015-01-10	20	0	0	0	1119	Cassellastraße	50.12964	8.75968
156481	1	2015-01-10	20	0	0	0	1129	Hugo-Junkers-Straße	50.1272	8.752482
156482	1	2015-01-10	20	0	0	0	1139	Dieselstraße	50.12413	8.744345
156483	1	2015-01-10	20	0	0	0	1149	Daimlerstraße	50.12235	8.74008
156484	1	2015-01-10	20	0	0	0	1159	Riederhöfe	50.11742	8.728906
156485	1	2015-01-10	20	0	0	0	1169	Schwedlerstraße	50.11392	8.719403
156486	1	2015-01-10	20	0	0	0	1179	Osthafenplatz	50.11143	8.711917
156487	1	2015-01-10	20	0	0	0	1189	Ostbahnhof/Honsellstraße	50.11137	8.708612
156488	1	2015-01-10	20	0	0	0	1199	Ostbahnhof/Sonnemannstr.	50.11153	8.705698
156489	1	2015-01-10	20	0	0	0	1209	Zobelstraße	50.11294	8.700042
156490	1	2015-01-10	20	0	0	0	1219	S-Bahn-Station Ostendstraße	50.11315	8.697785
156491	1	2015-01-10	20	0	0	0	1229	Allerheiligentor	50.11329	8.693541
156492	1	2015-01-10	20	0	0	0	1239	Börneplatz/Stolzestraße	50.11247	8.688642
156493	1	2015-01-10	20	0	0	0	1249	Römer/Paulskirche	50.11159	8.681671
156494	1	2015-01-10	20	0	0	0	1259	Willy-Brandt-Platz	50.1088	8.673368
156495	1	2015-01-10	20	0	0	0	1269	Weser-/Münchener Straße	50.1079	8.67047
156496	1	2015-01-10	20	0	0	0	1279	Hauptbf./Münchener Straße	50.10675	8.665919
156497	1	2015-01-10	20	0	0	0	1289	Baseler Platz	50.10444	8.664855
156498	1	2015-01-10	20	0	0	0	1299	Stresemannallee/Gartenstraße	50.09955	8.669487
156499	1	2015-01-10	20	0	0	0	1309	Vogelweidstraße	50.09731	8.667011
156500	1	2015-01-10	20	0	0	0	1319	Universitätsklinikum	50.0965	8.660521
156501	1	2015-01-10	20	0	0	0	1329	Hch.Hoffmann-Str/Blutsp.Dienst	50.09259	8.652849
156502	1	2015-01-10	20	0	0	0	1339	Niederräder Landstraße	50.08898	8.651926
156503	1	2015-01-10	20	0	0	0	1349	Triftstraße	50.0863	8.650082
156504	1	2015-01-10	20	0	0	0	1359	Gerauer Straße	50.08376	8.644427
156505	1	2015-01-10	20	0	0	0	1369	Melibocusstraße	50.08163	8.639213
156506	1	2015-01-10	20	0	0	0	1379	Niederrad Bahnhof	50.08093	8.637694
156507	1	2015-01-10	20	0	0	0	1389	Bürostadt Niederrad	50.07814	8.627926
156508	1	2015-01-10	20	0	0	0	1399	Kiesschneise	50.07645	8.617742
156509	1	2015-01-10	20	0	0	0	1409	Waldau	50.07677	8.611544
156510	1	2015-01-10	20	0	0	0	1419	Waldfriedhof Goldstein	50.07689	8.602348
156511	1	2015-01-10	20	0	0	0	1429	Harthweg	50.08102	8.594564
156512	1	2015-01-10	20	0	0	0	1439	Ferdinand-Dirichs-Weg	50.0826	8.588766
156513	1	2015-01-10	20	0	0	0	1449	Schwanheim Rheinlandstr.	50.08217	8.581546
156514	1	2015-01-10	20	0	0	0	1459	Rennbahn	50.08323	8.651384
156515	1	2015-01-10	20	0	0	0	1469	Oberforsthaus	50.07936	8.654292
156516	1	2015-01-10	20	0	0	0	1479	Stadion Straßenbahn	50.07431	8.652657
156517	1	2015-01-10	20	0	0	0	1489	Otto-Hahn-Platz	50.10174	8.675359
156518	1	2015-01-10	20	0	0	0	1499	Schweizer-/Gartenstraße	50.10333	8.679585
156519	1	2015-01-10	20	0	0	0	1509	Schwanthalerstraße	50.10097	8.681355
156520	1	2015-01-10	20	0	0	0	1519	Südbahnhof	50.09966	8.682983
156521	1	2015-01-10	20	0	0	0	1529	Südbahnhof/Schweizer Str.	50.09858	8.683227
156522	1	2015-01-10	20	0	0	0	1539	Schweizer Str./Mörfelder Ldstr.	50.09686	8.684231
156523	1	2015-01-10	20	0	0	0	1549	Oppenheimer Landstraße	50.09516	8.681072
156524	1	2015-01-10	20	0	0	0	1559	Breslauer Straße	50.09332	8.677882
156525	1	2015-01-10	20	0	0	0	1569	Beuthener Straße	50.09097	8.673674
156526	1	2015-01-10	20	0	0	0	1579	Stresemannallee/Mörfelder Ldstr	50.08909	8.671614
156527	1	2015-01-10	20	0	0	0	1589	Louisa Bahnhof	50.08419	8.670987
156528	1	2015-01-10	20	0	0	0	1599	Oberschweinstiege	50.07059	8.678148
156529	1	2015-01-10	20	0	0	0	1609	Neu-Isenburg Stadtgrenze	50.05944	8.694654
156530	1	2015-01-10	20	0	0	0	1619	Textorstraße	50.10258	8.689552
156531	1	2015-01-10	20	0	0	0	1629	Brücken-/Textorstraße	50.1014	8.686291
156532	1	2015-01-10	20	0	0	0	1639	Offenbach Stadtgrenze	50.10189	8.744951
156533	1	2015-01-10	20	0	0	0	1649	Wiener Straße	50.10036	8.736727
156534	1	2015-01-10	20	0	0	0	1659	Flaschenburgstraße	50.10045	8.731064
156535	1	2015-01-10	20	0	0	0	1669	Buchrainstraße	50.10051	8.72426
156536	1	2015-01-10	20	0	0	0	1679	Bleiweißstraße	50.10014	8.720151
156537	1	2015-01-10	20	0	0	0	1689	Balduinstraße	50.09936	8.714561
156538	1	2015-01-10	20	0	0	0	1699	Ernst-May-Platz	50.12626	8.716659
156539	1	2015-01-10	20	0	0	0	1709	Saalburg-/Wittelsbacherallee	50.12442	8.713724
156540	1	2015-01-10	20	0	0	0	1719	Freiligrathstraße	50.12197	8.709934
156541	1	2015-01-10	20	0	0	0	1729	Habsburger-/Wittelsbacherallee	50.12001	8.704516
156542	1	2015-01-10	20	0	0	0	1739	Waldschmidtstraße	50.11817	8.701526
156543	1	2015-01-10	20	0	0	0	1749	Zoo	50.11547	8.698488
156544	1	2015-01-10	20	0	0	0	1759	Gravensteiner-Platz	50.15539	8.698527
156545	1	2015-01-10	20	0	0	0	1769	Alkmenestraße	50.15187	8.699841
156546	1	2015-01-10	20	0	0	0	1779	Walter-Kolb-Siedlung	50.14648	8.703264
